ts_open,ts_close,open,high,low,close
2026-03-22T18:21:00-04:00,2026-03-22T18:22:00-04:00,3019.60,3020.10,3019.00,3019.40
2026-03-22T18:22:00-04:00,2026-03-22T18:23:00-04:00,3019.40,3019.90,3018.80,3019.10
2026-03-22T18:23:00-04:00,2026-03-22T18:24:00-04:00,3019.10,3019.60,3018.50,3018.90
2026-03-22T18:24:00-04:00,2026-03-22T18:25:00-04:00,3018.90,3019.40,3018.30,3018.60
2026-03-22T18:25:00-04:00,2026-03-22T18:26:00-04:00,3018.60,3019.10,3018.00,3018.40
2026-03-22T18:26:00-04:00,2026-03-22T18:27:00-04:00,3018.40,3018.90,3017.80,3018.10
2026-03-22T18:27:00-04:00,2026-03-22T18:28:00-04:00,3018.10,3018.60,3017.50,3017.90
2026-03-22T18:28:00-04:00,2026-03-22T18:29:00-04:00,3017.90,3018.40,3017.30,3017.60
2026-03-22T18:29:00-04:00,2026-03-22T18:30:00-04:00,3017.60,3018.10,3017.00,3017.40
2026-03-22T18:30:00-04:00,2026-03-22T18:31:00-04:00,3017.40,3017.90,3016.80,3017.10
2026-03-22T18:31:00-04:00,2026-03-22T18:32:00-04:00,3017.10,3017.60,3016.50,3016.90
2026-03-22T18:32:00-04:00,2026-03-22T18:33:00-04:00,3016.90,3017.40,3016.30,3016.60
2026-03-22T18:33:00-04:00,2026-03-22T18:34:00-04:00,3016.60,3017.10,3016.00,3016.40
2026-03-22T18:34:00-04:00,2026-03-22T18:35:00-04:00,3016.40,3016.90,3015.80,3016.10
2026-03-22T18:35:00-04:00,2026-03-22T18:36:00-04:00,3016.10,3016.60,3015.50,3015.90
2026-03-22T18:36:00-04:00,2026-03-22T18:37:00-04:00,3015.90,3016.40,3015.30,3015.60
2026-03-22T18:37:00-04:00,2026-03-22T18:38:00-04:00,3015.60,3016.10,3015.00,3015.40
2026-03-22T18:38:00-04:00,2026-03-22T18:39:00-04:00,3015.40,3015.90,3014.80,3015.10
2026-03-22T18:39:00-04:00,2026-03-22T18:40:00-04:00,3015.10,3015.60,3014.50,3014.90
2026-03-22T18:40:00-04:00,2026-03-22T18:41:00-04:00,3014.90,3015.40,3014.30,3014.60
2026-03-22T18:41:00-04:00,2026-03-22T18:42:00-04:00,3014.60,3015.10,3014.00,3014.40
2026-03-22T18:42:00-04:00,2026-03-22T18:43:00-04:00,3014.40,3014.90,3013.80,3014.10
2026-03-22T18:43:00-04:00,2026-03-22T18:44:00-04:00,3014.10,3014.60,3013.50,3013.90
2026-03-22T18:44:00-04:00,2026-03-22T18:45:00-04:00,3013.90,3014.40,3013.30,3013.60
2026-03-22T18:45:00-04:00,2026-03-22T18:46:00-04:00,3013.60,3014.10,3013.00,3013.40
2026-03-22T18:46:00-04:00,2026-03-22T18:47:00-04:00,3013.40,3013.90,3012.80,3013.10
2026-03-22T18:47:00-04:00,2026-03-22T18:48:00-04:00,3013.10,3013.60,3012.50,3012.90
2026-03-22T18:48:00-04:00,2026-03-22T18:49:00-04:00,3012.90,3013.40,3012.30,3012.60
2026-03-22T18:49:00-04:00,2026-03-22T18:50:00-04:00,3012.60,3013.10,3012.00,3012.40
2026-03-22T18:50:00-04:00,2026-03-22T18:51:00-04:00,3012.40,3012.90,3011.80,3012.10
2026-03-22T18:51:00-04:00,2026-03-22T18:52:00-04:00,3012.10,3012.60,3011.50,3011.90
2026-03-22T18:52:00-04:00,2026-03-22T18:53:00-04:00,3011.90,3012.40,3011.30,3011.60
2026-03-22T18:53:00-04:00,2026-03-22T18:54:00-04:00,3011.60,3012.10,3011.00,3011.40
2026-03-22T18:54:00-04:00,2026-03-22T18:55:00-04:00,3011.40,3011.90,3010.80,3011.10
2026-03-22T18:55:00-04:00,2026-03-22T18:56:00-04:00,3011.10,3011.60,3010.50,3010.90
2026-03-22T18:56:00-04:00,2026-03-22T18:57:00-04:00,3010.90,3011.40,3010.30,3010.60
2026-03-22T18:57:00-04:00,2026-03-22T18:58:00-04:00,3010.60,3011.10,3010.00,3010.40
2026-03-22T18:58:00-04:00,2026-03-22T18:59:00-04:00,3010.40,3010.90,3009.80,3010.10
2026-03-22T18:59:00-04:00,2026-03-22T19:00:00-04:00,3010.10,3010.60,3009.50,3009.90
